"ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"113185","Jannah Sonnenschein","F",20,168,60,"Mozambique","MOZ","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 100 metres Butterfly",NA
"113211","Thomas Holmn Sopp","M",20,182,75,"Norway","NOR","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",NA
"113211","Thomas Holmn Sopp","M",20,182,75,"Norway","NOR","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Men's 100 metres Backstroke",NA
"113211","Thomas Holmn Sopp","M",20,182,75,"Norway","NOR","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Men's 200 metres Backstroke",NA
"113211","Thomas Holmn Sopp","M",20,182,75,"Norway","NOR","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"113221","Keita Soraoka","M",20,177,69,"Japan","JPN","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Men's 100 metres Backstroke",NA
"113221","Keita Soraoka","M",20,177,69,"Japan","JPN","1992 Summer",1992,"Summer","Barcelona","Swimming","Swimming Men's 200 metres Backstroke",NA
"113223","Warren Sorby","M",18,187,84,"Fiji","FIJ","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 100 metres Freestyle",NA
"113223","Warren Sorby","M",18,187,84,"Fiji","FIJ","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 100 metres Backstroke",NA
"113223","Warren Sorby","M",18,187,84,"Fiji","FIJ","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 100 metres Butterfly",NA
"113223","Warren Sorby","M",18,187,84,"Fiji","FIJ","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 200 metres Individual Medley",NA
"113223","Warren Sorby","M",23,187,84,"Fiji","FIJ","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 50 metres Freestyle",NA
"113223","Warren Sorby","M",23,187,84,"Fiji","FIJ","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 100 metres Freestyle",NA
"113273","Vitaly Ivanovich Sorokin","M",20,176,68,"Soviet Union","URS","1956 Summer",1956,"Summer","Melbourne","Swimming","Swimming Men's 100 metres Freestyle",NA
"113273","Vitaly Ivanovich Sorokin","M",20,176,68,"Soviet Union","URS","1956 Summer",1956,"Summer","Melbourne","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Bronze"
"113273","Vitaly Ivanovich Sorokin","M",24,176,68,"Soviet Union","URS","1960 Summer",1960,"Summer","Roma","Swimming","Swimming Men's 100 metres Freestyle",NA
"113273","Vitaly Ivanovich Sorokin","M",24,176,68,"Soviet Union","URS","1960 Summer",1960,"Summer","Roma","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",NA
"113275","Nataliya Sorokina","F",20,172,63,"Russia","RUS","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay",NA
"113293","Csaba Ss","M",15,172,68,"Hungary","HUN","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Men's 1,500 metres Freestyle",NA
"113293","Csaba Ss","M",15,172,68,"Hungary","HUN","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Men's 400 metres Individual Medley",NA
"113293","Csaba Ss","M",19,172,68,"Hungary","HUN","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Men's 200 metres Butterfly",NA
